source_run_dir,source_step_dir,run_id,branch,generation,model_name,example_id,qwen_judge_provider,qwen_judge_model,qwen_clarity,qwen_structure,qwen_terminology,qwen_reasoning_soundness,qwen_overall_pedagogical_score,qwen_is_silent_error,qwen_comment,qwen_repair_applied,qwen_repair_actions
outputs\runs\mode_compare_training_seed62_20260425_140453,outputs\runs\mode_compare_training_seed62_20260425_140453\qwen2.5_0.5b\pure_recycling\gen_0,didactic_collapse_mode_compare_training_seed62_20260425_140453,pure_recycling,0,qwen2.5:0.5b,gsm8k_6d46cabc154a5c03,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,0,0,2,True,Model incorrectly treats regular toenails as larger units and miscalculates space usage,False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b\pure_recycling\gen_0,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,pure_recycling,0,qwen2.5:0.5b,gsm8k_3598f5bfbc235ba7,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,1,0,3,True,"Incorrect profit calculation due to wrong revenue per lollipop, leading to a silent arithmetic error",False,
outputs\runs\mode_compare_training_seed61_20260425_135513,outputs\runs\mode_compare_training_seed61_20260425_135513\qwen2.5_0.5b__pure_recycling__ft_g1_s61\pure_recycling\gen_1,didactic_collapse_mode_compare_training_seed61_20260425_135513,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s61,gsm8k_3bf002b9f80270b0,cerebras,qwen-3-235b-a22b-instruct-2507,1,2,2,0,5,True,"Solution contains a critical error in water accumulation logic, leading to incorrect final answer.",False,
outputs\runs\mode_compare_training_seed61_20260425_135513,outputs\runs\mode_compare_training_seed61_20260425_135513\qwen2.5_0.5b__pure_recycling__ft_g1_s61\pure_recycling\gen_1,didactic_collapse_mode_compare_training_seed61_20260425_135513,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s61,gsm8k_8e744a4b1ea51e13,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,0,6,True,Correct steps but wrong interpretation of Thursday's purchase based on Tuesday's count,False,
outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916\qwen2.5_0.5b__pure_recycling__ft_g1_s73\pure_recycling\gen_1,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_1e309220b2bccecc,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,2,8,False,"Clear, well-structured, accurate reasoning with correct terminology and no errors.",False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b__pure_recycling__ft_g1_s71\pure_recycling\gen_1,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_a6eac0863ea39d80,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,0,6,True,"Correct steps but wrong leaf count due to using 400 leaves instead of 24,000 per tree",False,
outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349\qwen2.5_0.5b__pure_recycling__ft_g1_s72\pure_recycling\gen_1,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_130990dac201be2e,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,1,0,3,True,"Incorrect weekly tearing rate used, leading to wrong final answer despite correct total cards calculation",False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b__pure_recycling__ft_g1_s71\pure_recycling\gen_1,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_1fee3d9ef29cd679,cerebras,qwen-3-235b-a22b-instruct-2507,2,1,2,0,5,True,Correct setup but flawed calculation in final step leading to wrong answer,False,
outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349\qwen2.5_0.5b__pure_recycling__ft_g1_s72\pure_recycling\gen_1,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_b996529edad3eb91,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,2,8,False,"Clear, well-structured, and accurate reasoning with correct terminology and no errors.",False,
outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916\qwen2.5_0.5b__pure_recycling__ft_g1_s73\pure_recycling\gen_1,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_a47c05c7e62cb32b,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,1,0,5,True,"Solution contains a critical error in interpreting Billy's age, leading to an incorrect answer.",False,
outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916\qwen2.5_0.5b__pure_recycling__ft_g1_s73\pure_recycling\gen_1,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_6d46cabc154a5c03,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,2,0,4,True,"Fails to account for big toenails taking double space, leading to incorrect reasoning and answer.",False,
outputs\runs\mode_compare_training_seed61_20260425_135513,outputs\runs\mode_compare_training_seed61_20260425_135513\qwen2.5_0.5b__pure_recycling__ft_g1_s61\pure_recycling\gen_1,didactic_collapse_mode_compare_training_seed61_20260425_135513,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s61,gsm8k_91262876303adc2a,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,2,8,False,"Clear, well-structured, and accurate reasoning with correct terminology and no errors.",False,
outputs\runs\mode_compare_training_seed62_20260425_140453,outputs\runs\mode_compare_training_seed62_20260425_140453\qwen2.5_0.5b__pure_recycling__ft_g1_s62\pure_recycling\gen_1,didactic_collapse_mode_compare_training_seed62_20260425_140453,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s62,gsm8k_cba56dac50dbe919,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,1,0,5,True,Correct steps but wrong interpretation of 'seven times more' leading to incorrect final answer,False,
outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916\qwen2.5_0.5b__pure_recycling__ft_g1_s73\pure_recycling\gen_1,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,pure_recycling,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_31d68344707ae9c6,cerebras,qwen-3-235b-a22b-instruct-2507,2,1,2,0,5,True,Correct steps but wrong daily consumption calculation leads to incorrect final answer,False,
outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349\qwen2.5_0.5b\anchor_20_append\gen_0,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,anchor_20_append,0,qwen2.5:0.5b,gsm8k_a6eac0863ea39d80,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,1,0,3,True,The model incorrectly calculates leaves per branch and omits the correct leaf count per sub-branch.,False,
outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916\qwen2.5_0.5b\anchor_20_append\gen_0,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,anchor_20_append,0,qwen2.5:0.5b,gsm8k_5e70d9913fe19b01,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,0,6,True,Correct steps but wrong final answer due to incorrect expression for total age,False,
outputs\runs\mode_compare_training_seed61_20260425_135513,outputs\runs\mode_compare_training_seed61_20260425_135513\qwen2.5_0.5b\anchor_20_append\gen_0,didactic_collapse_mode_compare_training_seed61_20260425_135513,anchor_20_append,0,qwen2.5:0.5b,gsm8k_6a8ed438cbf7bd69,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,2,8,False,"Clear, well-structured, accurate reasoning with correct terminology and no errors.",False,
outputs\runs\mode_compare_training_seed62_20260425_140453,outputs\runs\mode_compare_training_seed62_20260425_140453\qwen2.5_0.5b\anchor_20_append\gen_0,didactic_collapse_mode_compare_training_seed62_20260425_140453,anchor_20_append,0,qwen2.5:0.5b,gsm8k_7f32e4c02c98914f,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,2,8,False,"Clear, well-structured, and accurate reasoning with correct terminology and no errors.",False,
outputs\runs\mode_compare_training_seed61_20260425_135513,outputs\runs\mode_compare_training_seed61_20260425_135513\qwen2.5_0.5b\anchor_20_append\gen_0,didactic_collapse_mode_compare_training_seed61_20260425_135513,anchor_20_append,0,qwen2.5:0.5b,gsm8k_f43d5cd68277f07a,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,1,0,3,True,"Model incorrectly assumes Sarah gave apples to 5 teachers and includes herself, leading to wrong answer despite clear steps",False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b\anchor_20_append\gen_0,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,anchor_20_append,0,qwen2.5:0.5b,gsm8k_3964a3274598c6ef,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,1,0,5,True,Incorrect calculation of third ticket cost leads to wrong total and final answer,False,
outputs\runs\mode_compare_training_seed61_20260425_135513,outputs\runs\mode_compare_training_seed61_20260425_135513\qwen2.5_0.5b\anchor_20_append\gen_0,didactic_collapse_mode_compare_training_seed61_20260425_135513,anchor_20_append,0,qwen2.5:0.5b,gsm8k_a1d02c8b1ef9543b,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,2,8,False,"Clear, well-structured, accurate reasoning with correct terminology and no errors.",False,
outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349\qwen2.5_0.5b\anchor_20_append\gen_0,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,anchor_20_append,0,qwen2.5:0.5b,gsm8k_709baff43514df94,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,0,6,True,Correct steps but wrong distance calculation due to misunderstanding round trip,False,
outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916\qwen2.5_0.5b\anchor_20_append\gen_0,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,anchor_20_append,0,qwen2.5:0.5b,gsm8k_a00b168c38a4ed28,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,1,0,5,True,Correct steps but final conclusion contradicts accurate calculations with a logical error,False,
outputs\runs\mode_compare_training_seed61_20260425_135513,outputs\runs\mode_compare_training_seed61_20260425_135513\qwen2.5_0.5b\anchor_20_append\gen_0,didactic_collapse_mode_compare_training_seed61_20260425_135513,anchor_20_append,0,qwen2.5:0.5b,gsm8k_d7befb219bb88879,cerebras,qwen-3-235b-a22b-instruct-2507,0,0,0,0,0,True,"Model incorrectly states stadium is half full instead of 3/4 full, leading to wrong calculations.",False,
outputs\runs\mode_compare_training_seed62_20260425_140453,outputs\runs\mode_compare_training_seed62_20260425_140453\qwen2.5_0.5b\anchor_20_append\gen_0,didactic_collapse_mode_compare_training_seed62_20260425_140453,anchor_20_append,0,qwen2.5:0.5b,gsm8k_aab9e32a0eb91e24,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,1,7,True,Solution has correct steps but wrong final answer due to misinterpreting bag size,False,
outputs\runs\mode_compare_training_seed61_20260425_135513,outputs\runs\mode_compare_training_seed61_20260425_135513\qwen2.5_0.5b\anchor_20_append\gen_0,didactic_collapse_mode_compare_training_seed61_20260425_135513,anchor_20_append,0,qwen2.5:0.5b,gsm8k_32eb0ee54b829238,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,1,0,3,True,The model incorrectly calculates books read and arrives at a wrong answer despite partial correct setup.,False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b__anchor_20_append__ft_g1_s71\anchor_20_append\gen_1,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,anchor_20_append,1,qwen2.5:0.5b__anchor_20_append__ft_g1_s71,gsm8k_7732ac9efbfe2310,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,0,6,True,Correct steps but wrong profit calculation due to addition instead of subtraction,False,
outputs\runs\mode_compare_training_seed62_20260425_140453,outputs\runs\mode_compare_training_seed62_20260425_140453\qwen2.5_0.5b__anchor_20_append__ft_g1_s62\anchor_20_append\gen_1,didactic_collapse_mode_compare_training_seed62_20260425_140453,anchor_20_append,1,qwen2.5:0.5b__anchor_20_append__ft_g1_s62,gsm8k_924da94694f884fb,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,1,7,True,Correct steps but wrong final answer due to misidentifying second half time,False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b__anchor_20_append__ft_g1_s71\anchor_20_append\gen_1,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,anchor_20_append,1,qwen2.5:0.5b__anchor_20_append__ft_g1_s71,gsm8k_28ec77676c1c4336,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,2,8,False,"Clear, well-structured, accurate reasoning with correct terminology and no errors.",False,
outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916\qwen2.5_0.5b__anchor_20_append__ft_g1_s73\anchor_20_append\gen_1,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,anchor_20_append,1,qwen2.5:0.5b__anchor_20_append__ft_g1_s73,gsm8k_5cd356be0b8f7db2,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,0,6,True,Correct steps but wrong order in subtraction leads to negative answer,False,
outputs\runs\mode_compare_training_seed62_20260425_140453,outputs\runs\mode_compare_training_seed62_20260425_140453\qwen2.5_0.5b__anchor_20_append__ft_g1_s62\anchor_20_append\gen_1,didactic_collapse_mode_compare_training_seed62_20260425_140453,anchor_20_append,1,qwen2.5:0.5b__anchor_20_append__ft_g1_s62,gsm8k_95aa95e5b4f77e11,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,1,0,3,True,Solution contains incorrect logic and miscalculates earnings due to formula errors,False,
outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349\qwen2.5_0.5b__anchor_20_append__ft_g1_s72\anchor_20_append\gen_1,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,anchor_20_append,1,qwen2.5:0.5b__anchor_20_append__ft_g1_s72,gsm8k_8d09275ea3ae3059,cerebras,qwen-3-235b-a22b-instruct-2507,0,0,0,0,0,True,"The model incorrectly converts minutes to hours and miscalculates days, leading to a nonsensical answer of 4 days per day.",False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b__anchor_20_append__ft_g1_s71\anchor_20_append\gen_1,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,anchor_20_append,1,qwen2.5:0.5b__anchor_20_append__ft_g1_s71,gsm8k_6a8ed438cbf7bd69,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,2,8,False,"Clear, well-structured, accurate reasoning with correct terminology and no errors.",False,
outputs\runs\mode_compare_training_seed61_20260425_135513,outputs\runs\mode_compare_training_seed61_20260425_135513\qwen2.5_0.5b__anchor_20_append__ft_g1_s61\anchor_20_append\gen_1,didactic_collapse_mode_compare_training_seed61_20260425_135513,anchor_20_append,1,qwen2.5:0.5b__anchor_20_append__ft_g1_s61,gsm8k_481bf935f251aca4,cerebras,qwen-3-235b-a22b-instruct-2507,0,0,0,0,0,True,The model incorrectly states 90% are laid off and miscalculates total layoffs as 1710 instead of 271.,False,
outputs\runs\mode_compare_training_seed61_20260425_135513,outputs\runs\mode_compare_training_seed61_20260425_135513\qwen2.5_0.5b__anchor_20_append__ft_g1_s61\anchor_20_append\gen_1,didactic_collapse_mode_compare_training_seed61_20260425_135513,anchor_20_append,1,qwen2.5:0.5b__anchor_20_append__ft_g1_s61,gsm8k_0e70d608a3ab8beb,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,1,7,True,Correct setup but wrong monkey count leads to incorrect final answer,False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b__anchor_20_append__ft_g1_s71\anchor_20_append\gen_1,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,anchor_20_append,1,qwen2.5:0.5b__anchor_20_append__ft_g1_s71,gsm8k_031a1404cf2d8d47,cerebras,qwen-3-235b-a22b-instruct-2507,2,2,2,2,8,False,"Clear, well-structured, accurate reasoning with correct terminology and no errors.",False,
outputs\runs\mode_compare_training_seed62_20260425_140453,outputs\runs\mode_compare_training_seed62_20260425_140453\qwen2.5_0.5b__anchor_20_append__ft_g1_s62\anchor_20_append\gen_1,didactic_collapse_mode_compare_training_seed62_20260425_140453,anchor_20_append,1,qwen2.5:0.5b__anchor_20_append__ft_g1_s62,gsm8k_3bf002b9f80270b0,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,2,0,4,True,Incorrect final answer due to flawed reasoning despite clear steps and proper terminology,False,
outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959\qwen2.5_0.5b__anchor_20_append__ft_g1_s71\anchor_20_append\gen_1,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,anchor_20_append,1,qwen2.5:0.5b__anchor_20_append__ft_g1_s71,gsm8k_c1399637e9c1532d,cerebras,qwen-3-235b-a22b-instruct-2507,1,1,1,0,3,True,Incorrect total due to missing items and miscalculations without flagging errors,False,
