pair_id,source_run_dir,source_seed,run_id,generation,model_name,example_id,A_branch,B_branch
dbr_pair_0022,outputs\runs\dbr_confirmatory_seed212_20260428_230709,212,dbr_confirmatory_seed212_20260428_230709,2,qwen2.5:0.5b,gsm8k_3a047bfaf156eddb,pure_recycling,dbr_medium
dbr_pair_0023,outputs\runs\dbr_confirmatory_seed212_20260428_230709,212,dbr_confirmatory_seed212_20260428_230709,2,qwen2.5:0.5b,gsm8k_3bf002b9f80270b0,dbr_medium,pure_recycling
dbr_pair_0024,outputs\runs\dbr_confirmatory_seed212_20260428_230709,212,dbr_confirmatory_seed212_20260428_230709,2,qwen2.5:0.5b,gsm8k_54da51410a6325d7,dbr_medium,pure_recycling
dbr_pair_0025,outputs\runs\dbr_confirmatory_seed212_20260428_230709,212,dbr_confirmatory_seed212_20260428_230709,2,qwen2.5:0.5b,gsm8k_615afdc77a9e7b9c,dbr_medium,pure_recycling
dbr_pair_0026,outputs\runs\dbr_confirmatory_seed212_20260428_230709,212,dbr_confirmatory_seed212_20260428_230709,2,qwen2.5:0.5b,gsm8k_6c66d56609b4a9c5,dbr_medium,pure_recycling
dbr_pair_0027,outputs\runs\dbr_confirmatory_seed212_20260428_230709,212,dbr_confirmatory_seed212_20260428_230709,2,qwen2.5:0.5b,gsm8k_8c05d15a029834a5,dbr_medium,pure_recycling
dbr_pair_0028,outputs\runs\dbr_confirmatory_seed212_20260428_230709,212,dbr_confirmatory_seed212_20260428_230709,2,qwen2.5:0.5b,gsm8k_924da94694f884fb,dbr_medium,pure_recycling
dbr_pair_0029,outputs\runs\dbr_confirmatory_seed212_20260428_230709,212,dbr_confirmatory_seed212_20260428_230709,2,qwen2.5:0.5b,gsm8k_aab9e32a0eb91e24,dbr_medium,pure_recycling
dbr_pair_0030,outputs\runs\dbr_confirmatory_seed212_20260428_230709,212,dbr_confirmatory_seed212_20260428_230709,2,qwen2.5:0.5b,gsm8k_c8a9a0aee411bc98,dbr_medium,pure_recycling
dbr_pair_0031,outputs\runs\dbr_confirmatory_seed212_20260428_230709,212,dbr_confirmatory_seed212_20260428_230709,2,qwen2.5:0.5b,gsm8k_e181b20fdc799673,dbr_medium,pure_recycling
dbr_pair_0032,outputs\runs\dbr_confirmatory_seed212_20260428_230709,212,dbr_confirmatory_seed212_20260428_230709,2,qwen2.5:0.5b,gsm8k_e872987e1dd4435a,pure_recycling,dbr_medium
dbr_pair_0033,outputs\runs\dbr_confirmatory_seed213_20260430_115105,213,dbr_confirmatory_seed213_20260430_115105,2,qwen2.5:0.5b,gsm8k_05ae11a96390f2ab,dbr_medium,pure_recycling
dbr_pair_0034,outputs\runs\dbr_confirmatory_seed213_20260430_115105,213,dbr_confirmatory_seed213_20260430_115105,2,qwen2.5:0.5b,gsm8k_3f6e2f7a4278979f,dbr_medium,pure_recycling
dbr_pair_0035,outputs\runs\dbr_confirmatory_seed213_20260430_115105,213,dbr_confirmatory_seed213_20260430_115105,2,qwen2.5:0.5b,gsm8k_4f92ecf7951a45cb,pure_recycling,dbr_medium
dbr_pair_0036,outputs\runs\dbr_confirmatory_seed213_20260430_115105,213,dbr_confirmatory_seed213_20260430_115105,2,qwen2.5:0.5b,gsm8k_57bef5a901032dff,pure_recycling,dbr_medium
dbr_pair_0037,outputs\runs\dbr_confirmatory_seed213_20260430_115105,213,dbr_confirmatory_seed213_20260430_115105,2,qwen2.5:0.5b,gsm8k_7144115b486054b0,dbr_medium,pure_recycling
dbr_pair_0038,outputs\runs\dbr_confirmatory_seed213_20260430_115105,213,dbr_confirmatory_seed213_20260430_115105,2,qwen2.5:0.5b,gsm8k_8a09bf12e428bb07,dbr_medium,pure_recycling
dbr_pair_0039,outputs\runs\dbr_confirmatory_seed213_20260430_115105,213,dbr_confirmatory_seed213_20260430_115105,2,qwen2.5:0.5b,gsm8k_8e99587060ff8a2f,pure_recycling,dbr_medium
dbr_pair_0040,outputs\runs\dbr_confirmatory_seed213_20260430_115105,213,dbr_confirmatory_seed213_20260430_115105,2,qwen2.5:0.5b,gsm8k_9144453208693197,pure_recycling,dbr_medium
dbr_pair_0041,outputs\runs\dbr_confirmatory_seed213_20260430_115105,213,dbr_confirmatory_seed213_20260430_115105,2,qwen2.5:0.5b,gsm8k_a31e424584aadb3a,dbr_medium,pure_recycling
dbr_pair_0042,outputs\runs\dbr_confirmatory_seed213_20260430_115105,213,dbr_confirmatory_seed213_20260430_115105,2,qwen2.5:0.5b,gsm8k_c1442d0ed5f20cb9,pure_recycling,dbr_medium
dbr_pair_0043,outputs\runs\dbr_confirmatory_seed213_20260430_115105,213,dbr_confirmatory_seed213_20260430_115105,2,qwen2.5:0.5b,gsm8k_dae4847971e472c7,pure_recycling,dbr_medium
dbr_pair_0044,outputs\runs\dbr_confirmatory_seed213_20260430_115105,213,dbr_confirmatory_seed213_20260430_115105,2,qwen2.5:0.5b,gsm8k_e48477c944aa60d6,pure_recycling,dbr_medium
dbr_pair_0045,outputs\runs\dbr_confirmatory_seed213_20260430_115105,213,dbr_confirmatory_seed213_20260430_115105,2,qwen2.5:0.5b,gsm8k_e7df5130dd68f90e,pure_recycling,dbr_medium
dbr_pair_0046,outputs\runs\dbr_confirmatory_seed213_20260430_115105,213,dbr_confirmatory_seed213_20260430_115105,2,qwen2.5:0.5b,gsm8k_f7344564aacafdad,pure_recycling,dbr_medium
dbr_pair_0047,outputs\runs\dbr_confirmatory_seed213_20260430_115105,213,dbr_confirmatory_seed213_20260430_115105,2,qwen2.5:0.5b,gsm8k_f82367dd28b2e04a,dbr_medium,pure_recycling
dbr_pair_0048,outputs\runs\dbr_confirmatory_seed213_20260430_115105,213,dbr_confirmatory_seed213_20260430_115105,2,qwen2.5:0.5b,gsm8k_fb2796666117aba0,dbr_medium,pure_recycling
