pair_id,source_run_dir,source_seed,run_id,generation,model_name,example_id,A_branch,B_branch,old_llama_score_pure,old_llama_score_anchor,old_llama_silent_pure,old_llama_silent_anchor,old_llama_delta_anchor_minus_pure
pair_0011,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_7144115b486054b0,pure_recycling,anchor_20_append,0.0,0.0,True,False,0.0
pair_0012,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_8d09275ea3ae3059,anchor_20_append,pure_recycling,0.0,3.0,False,True,3.0
pair_0013,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_d412115ae8330337,anchor_20_append,pure_recycling,6.0,8.0,True,False,2.0
pair_0014,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_f7344564aacafdad,anchor_20_append,pure_recycling,6.0,0.0,False,False,-6.0
pair_0015,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_28ec77676c1c4336,anchor_20_append,pure_recycling,8.0,8.0,False,False,0.0
pair_0016,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_90bb5c3febf609d1,anchor_20_append,pure_recycling,0.0,6.0,False,False,6.0
pair_0017,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,72,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_a1d02c8b1ef9543b,anchor_20_append,pure_recycling,0.0,0.0,False,False,0.0
pair_0018,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,72,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_da1dbc428f948f94,pure_recycling,anchor_20_append,0.0,0.0,True,True,0.0
pair_0019,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,72,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_05ae11a96390f2ab,pure_recycling,anchor_20_append,8.0,6.0,False,True,-2.0
pair_0020,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,72,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_e64ad5c3d9a8bdaf,anchor_20_append,pure_recycling,0.0,0.0,False,False,0.0
pair_0021,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,72,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_a399fe1ace987422,anchor_20_append,pure_recycling,2.0,0.0,True,True,-2.0
pair_0022,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,72,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_1a9c79b890fd356d,pure_recycling,anchor_20_append,8.0,8.0,False,False,0.0
pair_0023,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,72,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_d5ec955dc644d718,anchor_20_append,pure_recycling,8.0,0.0,False,False,-8.0
pair_0024,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,72,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_751c6c44543e798e,anchor_20_append,pure_recycling,0.0,0.0,True,True,0.0
pair_0025,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,72,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_a47c05c7e62cb32b,anchor_20_append,pure_recycling,8.0,8.0,False,False,0.0
pair_0026,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,72,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_2a0097448029d097,anchor_20_append,pure_recycling,8.0,0.0,False,False,-8.0
pair_0027,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,72,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_d5240674d763f764,anchor_20_append,pure_recycling,8.0,8.0,False,False,0.0
pair_0028,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,72,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_1272bd82df9a0426,anchor_20_append,pure_recycling,0.0,8.0,True,False,8.0
pair_0029,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,72,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_924da94694f884fb,anchor_20_append,pure_recycling,8.0,0.0,False,False,-8.0
pair_0030,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,72,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_6c366dad07104cd1,anchor_20_append,pure_recycling,8.0,8.0,False,False,0.0
pair_0031,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,72,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_412759603546a32f,anchor_20_append,pure_recycling,0.0,2.0,True,False,2.0
pair_0032,outputs\runs\training_confirmatory_anchor20_seed72_20260426_101349,72,didactic_collapse_training_confirmatory_anchor20_seed72_20260426_101349,1,qwen2.5:0.5b__pure_recycling__ft_g1_s72,gsm8k_b996529edad3eb91,pure_recycling,anchor_20_append,8.0,8.0,False,False,0.0
pair_0033,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,73,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_c234d36d336bf4c3,anchor_20_append,pure_recycling,0.0,0.0,True,True,0.0
pair_0034,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,73,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_df4fa9a43d44f0c5,anchor_20_append,pure_recycling,8.0,0.0,False,True,-8.0
pair_0035,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,73,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_101bd28cf06fe717,pure_recycling,anchor_20_append,8.0,8.0,False,False,0.0
pair_0036,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,73,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_5cd356be0b8f7db2,pure_recycling,anchor_20_append,8.0,4.0,False,False,-4.0
pair_0037,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,73,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_428cb13ac27f7473,anchor_20_append,pure_recycling,8.0,8.0,False,False,0.0
pair_0038,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,73,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_0cd1a21f74e973df,anchor_20_append,pure_recycling,8.0,8.0,False,False,0.0
pair_0039,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,73,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_47e171858569bcf4,pure_recycling,anchor_20_append,8.0,1.0,False,True,-7.0
pair_0040,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,73,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_90bb5c3febf609d1,pure_recycling,anchor_20_append,0.0,0.0,False,False,0.0
pair_0041,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,73,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_3964a3274598c6ef,anchor_20_append,pure_recycling,8.0,4.0,False,True,-4.0
pair_0042,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,73,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_8c5d9c0bacf906b8,pure_recycling,anchor_20_append,6.0,6.0,False,True,0.0
pair_0043,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,73,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_bf487803990e3be6,pure_recycling,anchor_20_append,8.0,8.0,False,False,0.0
pair_0044,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,73,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_5b0b1ca6aa277d45,pure_recycling,anchor_20_append,0.0,8.0,False,False,8.0
pair_0045,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,73,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_d412115ae8330337,pure_recycling,anchor_20_append,8.0,0.0,False,True,-8.0
pair_0046,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,73,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_a92dd71bbae21cb0,pure_recycling,anchor_20_append,6.0,8.0,False,False,2.0
pair_0047,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,73,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_d705ed110d67f6a9,anchor_20_append,pure_recycling,8.0,8.0,False,False,0.0
pair_0048,outputs\runs\training_confirmatory_anchor20_seed73_20260426_103916,73,didactic_collapse_training_confirmatory_anchor20_seed73_20260426_103916,1,qwen2.5:0.5b__pure_recycling__ft_g1_s73,gsm8k_09ba9b7016fb4b6c,anchor_20_append,pure_recycling,0.0,8.0,True,False,8.0
